76	1155	BO I VESTERALEN II	68	38	14	28	13	\N	\N	\N	\N	\N	0
77	1160	σλςοχα FYR	68	9	14	39	-9999	\N	\N	\N	\N	\N	0
78	1161	SVOLVAER/HELLE	68	15	14	40	9	\N	\N	\N	\N	\N	0
79	1162	STORKMARKNES/SKAGEN	68	35	15	1	3	\N	\N	\N	\N	\N	0
80	1167	σοςτμεξδ	68	42	15	25	3	\N	\N	\N	\N	\N	0
81	1169	σαμτδαμ	66	51	15	19	-9999	\N	\N	\N	\N	\N	0
82	1172	FINNOY I HAMAROY	68	0	15	37	-9999	\N	\N	\N	\N	\N	0
83	1183	εχεξεσ	68	31	16	41	26	\N	\N	\N	\N	\N	0
84	1193	ξαςχιλ/ζςανξεσ	68	26	17	24	30	\N	\N	\N	\N	\N	0
85	1194	ξαςχιλ III	68	28	17	30	23	\N	\N	\N	\N	\N	0
86	1196	τεξξεχομμ	68	45	17	49	-9999	\N	\N	\N	\N	\N	0
87	1199	SIHCAJAVRI	68	45	23	32	-9999	\N	\N	\N	\N	\N	0
88	1203	λςαλεξεσ	62	2	4	59	-9999	\N	\N	\N	\N	\N	0
89	1205	σχιξοκ FYR	62	20	5	16	41	\N	\N	\N	\N	\N	0
90	1209	οςστα-χομδα/θοχδεξ	62	11	6	4	74	\N	\N	\N	\N	\N	0
91	1210	αμεσυξξ/χιηςα	62	34	6	7	22	\N	\N	\N	\N	\N	0
92	1212	οξα II	62	52	6	32	15	\N	\N	\N	\N	\N	0
93	1217	νομδε/αςο	62	45	7	16	3	\N	\N	\N	\N	\N	0
95	1218	TAFJORD	62	14	7	25	17	\N	\N	\N	\N	\N	0
96	1223	λςιστιαξσυξξ/λχεςξβεςηετ	63	7	7	50	62	\N	\N	\N	\N	\N	0
97	1224	σλαμνεξ FYR	63	28	7	45	13	\N	\N	\N	\N	\N	0
98	1227	τιξηχομμ-θαξεν	62	50	8	18	69	\N	\N	\N	\N	\N	0
99	1228	συμα	63	51	8	28	6	\N	\N	\N	\N	\N	0
101	1231	LESJASKOG	62	14	8	22	-9999	\N	\N	\N	\N	\N	0
102	1232	VINJEORA II	63	12	9	0	-9999	\N	\N	\N	\N	\N	0
